AGE,DIST,CertID
23,768,3
55,567,3
38,512,3
62,740,3
46,241,3
33,799,3
50,333,3
50,677,3
46,495,3
38,509,3
41,551,3
17,777,3
27,796,3
19,428,3
74,608,3
26,384,3
30,465,3
29,399,3
44,658,3
17,314,3
31,325,3
80,270,3
19,359,3
54,346,3
75,328,3
72,478,3
47,664,3
28,213,3
57,580,3
72,638,3
15,535,3
55,363,3
26,552,3
11,352,3
61,581,3
32,260,3
35,519,3
56,556,3
31,632,3
74,641,3
64,721,3
77,584,3
47,258,3
55,570,3
13,638,3
37,616,3
36,262,3
32,507,3
70,794,3
29,379,3
33,484,3
53,717,3
46,231,3
61,342,3
42,277,3
41,310,3
79,465,3
49,646,3
74,401,3
32,428,3
24,297,3
49,783,3
13,495,3
35,617,3
44,759,3
57,381,3
31,222,3
70,496,3
12,634,3
23,404,3
46,428,3
71,330,3
26,749,3
33,286,3
13,621,3
12,670,3
80,747,3
50,315,3
12,639,3
49,464,3
18,385,3
43,785,3
39,220,3
31,585,3
21,485,3
31,568,3
61,383,3
45,679,3
43,684,3
56,531,3
49,521,3
32,666,3
48,789,3
51,683,3
34,524,3
60,666,3
57,250,3
60,569,3
19,517,3
47,397,3
29,528,3
73,716,3
76,595,3
80,597,3
80,359,3
67,470,3
13,744,3
46,637,3
72,428,3
28,629,3
31,206,3
22,451,3
15,798,3
48,458,3
14,374,3
51,322,3
30,587,3
12,462,3
41,765,3
47,291,3
23,391,3
75,621,3
45,391,3
20,284,3
18,633,3
71,677,3
52,314,3
72,669,3
46,752,3
55,201,3
63,605,3
57,384,3
16,458,3
35,450,3
43,670,3
27,791,3
44,385,3
79,263,3
47,276,3
15,453,3
51,222,3
36,633,3
32,447,3
79,563,3
62,413,3
28,511,3
27,501,3
59,262,3
41,781,3
56,523,3
39,286,3
19,209,3
72,352,3
15,299,3
57,657,3
15,383,3
30,785,3
32,492,3
53,382,3
29,455,3
77,397,3
20,596,3
62,733,3
52,558,3
50,369,3
41,738,3
29,390,3
65,231,3
57,206,3
69,212,3
49,638,3
26,419,3
64,544,3
15,352,3
34,386,3
22,362,3
62,327,3
51,586,3
44,543,3
36,519,3
36,412,3
27,216,3
36,548,3
24,699,3
28,735,3
36,333,3
33,542,3
32,305,3
16,250,3
36,335,3
51,589,3
29,373,3
39,301,3
22,327,3
75,358,3
56,308,3
57,462,3
44,408,3
26,608,3
